"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Category","Is Action Temporary?","Done By","Status"
"Apr","06-04-2024 T03:19","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","C","BM","70","molding unit fault coming found NH temperature down at auto running condition","Not clear","N/A","N/A","N/A","N/A","NH and thermocouple wire condition check found ok then machine power off/on then ok ","-","Problem Category- Electrical,Breakdown Category- Process","No","Tinku,Salman ","Completed"
"Apr","06-04-2024 T03:24","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","C","BM","66","SPOOL PICK UP  FLIP UNIT BROKEN","SPOOL PICK UP  FLIP UNIT BROKEN","FLIP UNIT MOVEMENT NOT GOOD","CYLINDER SPEED WAS VERY HIGH","SPEED CONTROLLER MAXIMUM OPEN","..","Checked & found pin was broken.,Pin changed with new,Alignment done,Cylinder speed adjusted after that Ok.","SO FLIP UNIT CHANGE WITH NEW & PROPERLY ALIGNMENT DONE ..ALSO CYLINDER SPEED ADJUSTED DONE THEN OK","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku,Salman ","Completed"
"Apr","05-04-2024 T19:00","Injector","UC # 3","CONNECTOR PRESS FITTING-1","UC3-071","B","BM","70","Part slip during Table unloading ","Part slip during Unloading ","Robot unable to chuck part properly. ","Robot finger wear Tear","Continuous run ","","Robot finger changed with new and Fine teaching done ","Predictive Maintenance to be performed in FY'24 , Finger change on basis of Production qty.","Problem Category- Mechanical,Breakdown Category- Wear","No","Parveen Kumar","Completed"
"Apr","06-04-2024 T12:15","Injector","Housing-4","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG4-3020","A","BM","20","Pallet mismatch fault at Unloading statio","Pallet confirmation sensor detect other model pallet ","other model pallet condition match","other model px sensor got on","sensor head side metal dust accumulate","due to continue pallet move on slide","pallet confermantion sensor head cleaning and pallet slider arya cleaning done","request to prd clean the pallet slider area 1/ D","Problem Category- Mechanical,Breakdown Category- Process","No","Yogesh Kumar","Completed"
"Apr","06-04-2024 T12:16","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","A","BM","64","Sensor did not sense the part","robot double part load","die side part confirmation  sensor not sense the part","sensor continue on after model change over","sensor position/alignment  disturb","suspected cause may be during mold change time hiting","sensor alignment done ","we will prepare one master to check sensor ok working.","Problem Category- Mechanical,Breakdown Category- Human","No","Yogesh Kumar","Completed"
"Apr","06-04-2024 T15:58","Fuel Pump","SIFS # 4","Filter and pump Assy m/c.","M-EN-FP-SIF-4-100-1","B","BM","32","Master off during cycle ","Master off during cycle","Jig slider stuck under plate ","Jig front plate touch on metal down side ","Jig side loose happen  ","-","Jig plate re tightening done ",".","Problem Category- Mechanical,Breakdown Category- Human","No","Anil Kumar,Tarkeshwar Prasad","Completed"
"Apr","06-04-2024 T17:35","Injector","Housing-1","WIRE WINDING","EIHS-031","B","BM","15","Remaining wire length higher side ","Wire was longer than defined spec","Cutter cutting from wrong position","Cutter position found disturbed","-","-","Cutter gap adjusted ","-","Problem Category- Mechanical,Breakdown Category- Wear","No","Anil Kumar","Completed"
"Apr","06-04-2024 T20:18","Injector","Housing-1","MUC FUSHING END BENDING","EIHS-071","B","BM","15","resistance ng coming ","resistance ng coming","in between terminal and prob other material  touch ","prob bend cylinder stroke more ","cylinder aligenment not ok ",".","We observed during probe touch terminal bend cylinder touches probe so probe bend cylinder stroke decreased.",".","Problem Category- Mechanical,Breakdown Category- Design","No","Tarkeshwar Prasad","Completed"
"Apr","06-04-2024 T20:22","Injector","Housing-1","VISUAL INSPECTION","EIHS-051","B","CM","100","Machine cycle time is high","Machine cycle time is high","pallet discharge cylinder motion is slow","cylinder stuck during backward time","cylinder seal and rod was damaged","seal was wear out"," pallet cylinder change with new then ok","so pallet cylinder change with new then ok","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tinku,Salman ,Anil Kumar","Completed"
"Apr","06-04-2024 T20:26","Injector","Housing-1","FUSHING END BENDING","EIHS-061","B","BM","16","Abnormal sound coming  from machine ","Abnormal sound coming from machine","Cylinder piston hitting with cylinder housing","Cylinder in high speed","-","-","Both side pallet shift cylinder speed adjusted done","-","Problem Category- Pneumatic,Breakdown Category- Human","No","Anil Kumar","Completed"
"Apr","06-04-2024 T15:35","Injector","UC # 3","CONNECTOR PRESS FITTING-1","UC3-071","B","PM","45","Gripper side pick place fault was coming","Robot not pick the part properly","Part was not proper in palate","It was getting tilt during palate lift","Lifter-1 speed was high","NA","Lifter-1 upward speed reduced and robot fine teaching done at pick from palate","NA","Problem Category- Mechanical,Breakdown Category- Process","No","Parveen Kumar","Completed"
"Apr","06-04-2024 T23:31","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","C","BM","25","spool unloading memory fault coming","spool unloading memory fault coming","spool drop during unloading ","spool holding ball plunger alignment ng ","Ball plunger loss ",".","spool holding ball plunger adjustment done after that ok","N/A","Problem Category- Mechanical,Breakdown Category- Process","No","Salman ","Completed"
"Apr","07-04-2024 T02:40","Injector","UC # 3","AIR LEAK INSPECTION","UC3-040","C","BM","20","Part pusher cylinder stuck in Auto running ","Part pusher cylinder stuck in Auto running ","part pusher cylinder solenoid hold","part & pallet confirm sensor continue on","oil came in sensor sensing area",".","part pusher cylinder stay oil removed by cleaning and part confirm sensor cleaning done","Request to PRD Clean 1/Shift along with PQ activity ","Problem Category- Mechanical,Breakdown Category- Process","No","Keshav,Santosh kumar Majhi","Completed"
"Apr","07-04-2024 T10:41","Injector","Housing-3","MOLDING MACHINE","HSG3-4010","A","BM","10","Ejector area burr in HE and HG cavity","robot part not proper unloading","part chuck finger not proper clamp","Gap available between part & finger","left side finger was loose from mounting","bolt not properly tight","finger mounting bolt proper tight then ok",".","Problem Category- Mechanical,Breakdown Category- Process","No","Yogesh Kumar","Completed"
"Apr","07-04-2024 T19:52","Injector","Housing-4","MOLDING MACHINE","HSG4-4010","B","BM","35","robot hang during part unloading on b die","Robot IO signal not coming","robot pipe guide finger not chucking the part","finger not going inside part for chuck","unloading side pipe guide finger left side was found broken ","Not Clear","so broken finger remove and change with new finger ","HRC of broken finger to be tested in SQD Lab & compared with drawing then future counter-measure will be decided.","Problem Category- Mechanical,Breakdown Category- Process","No","Tarkeshwar Prasad","Completed"
"Apr","07-04-2024 T21:05","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","B","BM","25","spool unloading cycle time over and spool discharge up/down fault come","spool unloading cycle time over and spool discharge up/down fault come","spool stuck in unloading pallet ","spool proper not pressed in unloading unit ","ball plunger come out ","ball plunger not properly set on position","so 2 time ball plunger tight but come out so finally tightened with locktight then ok ","Confirmation available in PM check point ","Problem Category- Mechanical,Breakdown Category- Design","No","Tarkeshwar Prasad","Completed"
"Apr","08-04-2024 T10:33","Fuel Pump","FP-Assy","CASING PRESS FITTING M/C","M-EN-FP-FPA-1-090-1","A","CM","7","Hydraulic oil leakage from Press fitting cylinder","Hydraulic oil leakage from Press fitting cylinder","Oil came with exhaust air during process","cylinder piston seal got damaged ","Due to continue use","Life over ","cylinder was order ,after that cylinder received and changed ",".","Problem Category- Mechanical,Breakdown Category- Wear","No","Sandeep Kumar","Completed"
"Apr","08-04-2024 T10:37","Fuel Pump","FP-Armature","BALANCING M/C","M-EN-FP-ARM-1-160-1","A","CM","0","Cut Shift & Angle rotation defect rate coming",".",".",".",".",".","Sensor Focus and Sensitivity adjusted after that Under Observation",".","Problem Category- Electrical,Breakdown Category- Obsolete","No","Tarkeshwar Prasad","Completed"
"Apr","08-04-2024 T11:40","Injector","UC # 3","SPRING AND  ADJ.PIPE ASSY ","UC3-080","A","CM","110","Pre-Q ng was coming","Root cause is under analysis","NA","NA","NA","NA","Zero claim part changed as per CFT ","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","SOURABH GUPTA,Parveen Kumar","Completed"
"Apr","08-04-2024 T16:18","Injector","Housing-3","LASER MARKING MACHINE","HSG3-4020","B","BM","22","Resistance coming higher side in some part ","Resistance Value higher side","More resistance than defined spec","Coating from probes found removed from terminal contact area","Friction between probes & terminals","Gap between probes was less","Probe alignment check found ok ,Probe cleaning done with electric CRC but not Ok,Probes changed with new after that Ok","-","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Anil Kumar","Completed"
"Apr","08-04-2024 T20:45","Injector","UC # 3","FILTER ASSEMBLY","UC3-140","B","BM","30","Filter wash fluid pressure low fault","Filter wash fluid pressure low fault","Washing fluid pressure was coming lower side ","Filter washing main line filter choked ","Continue usage ","","Filter washing 2 line metal filter cleaned ","Instructed to PRD for  Filter washing line filter change","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Keshav,Gaurav","Completed"
"Apr","09-04-2024 T07:40","Injector","UC # 3","FILTER ASSEMBLY","UC3-140","A","BM","30","Filter wash fluid pressure low fault was coming","Filter wash fluid pressure low","Filter wash fluid pressure value not came ","oil pressure line filter chocked ","Suspected due to continue use ",".","checked & found pressure came but output not on of the sensor amplifire then its set value change and fault reset afterthat again value revert back","Filter change frequency has to revise ","Problem Category- Electrical,Breakdown Category- Process","No","SAHIL SAINI,Keshav","Completed"
"Apr","09-04-2024 T14:35","Fuel Pump","Suction Filter","Leaser triming ","M-EN-FP-SUF-1-070-1","B","CM","110","Laser trimming abnormal cutting","part ng cutting on laser trimming ","laser position in part  cutting position shift 
","may be laser X Y position shift ","Jig Side cap not clamp properly in Cap P/F","Spring was damage so spring change with new one ","IAI robot cylinder position teaching done. ,Cap P/F Jig side Spring change with new one",".","Problem Category- Both,Breakdown Category- Part-Failure","No","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"Apr","09-04-2024 T09:30","Fuel Pump","FP-Assy","PERFORMANCE INSPECTION","M-EN-FP-FPA-1-230-1,2","A","CM","60","Flow rate NG","Flow rate NG","during part set oil leakage happen ","aligenment not ok ","seal wear out ",".","our side aligenment check and prd side seal change ",".MTD will check the condition of both stations of the machine and change the components as per requirement. T.D - 11-04-2024","Problem Category- Mechanical,Breakdown Category- Part-Failure","Yes","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"Apr","09-04-2024 T13:55","Fuel Pump","FP-Assy","Cover end support press-fitting M/C","M-EN-FP-FPA-1-170-1","A","BM","30","Recheck issue<Spring presence error,  judge OK part as NG>","Recheck issue<Spring presence error, judge OK part as NG>","some time sensor on some time not on ","Sensor alignment NG","Sensor Mounting bolt loose","During Running this get loose","so aligenment done on part and wrt to sensor ",".Information conveyed to PRD regarding the jig side issue ( Kaizen activity)","Problem Category- Mechanical,Breakdown Category- Design","Yes","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"Apr","09-04-2024 T18:40","Fuel Pump","FP-Assy","PERFORMANCE INSPECTION","M-EN-FP-FPA-1-230-1,2","B","CM","65","Flow rate coming NG ","Root cause under analysis","-","-","-","-","Both station many time pressure adjusted after that part ok","-","Problem Category- Electrical,Breakdown Category- Process","Yes","Tinku,Anil Kumar","Completed"
"Apr","09-04-2024 T18:57","Injector","Housing-4","FUSING MACHINE","HSG4-2020","B","BM","33","camera 1 ng coming","Parameter goes out of spec","start side wire lengh coming less","wire properly cut not happen ","cutter unit side gap available","-","Cutter gap adjusted done then ok","CM","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku","Completed"
"Apr","09-04-2024 T09:00","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","A","CM","110","After model change Holder scratch coming ","Both die L-side Holder scratch was coming","Holder area in contact with die","Part not properly aligned wrt die","Holder & pipe guide in/out finger position was disturbed","Under analysis","Checked & found dent was coming on holder area during loading process ,Observed the problem was coming from both die L-side only,Holder chuck finger mechanically adjusted,Pipe guide in/out finger mechanically adjusted & accordingly robot teaching done","All mounting condition checked & found Ok.","Problem Category- Mechanical,Breakdown Category- Wear","No","Tarkeshwar Prasad,Bikash Pradhan","Completed"
"Apr","10-04-2024 T16:11","Fuel Pump","YG4 (HONDA)","Glue applying machine","M-EN-FP-SIF-4-050-1","B","CM","169","pump servo fault coming","pump servo fault coming","pump motion not good","pump side load apply happen during running time","material passing not happen","dispenser unit side material path was block","dispenser unit change with new","so, one time servo screw cleaning done properly also poppet vale cleaning done then check without dispenser unit pump home position ok coming also material coming ok. but when dispenser unit assemble then again same problem coming ... so prd cleaning / lubrication done the dispenser unit .. then check machine running ok..","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Sandeep Kumar,Tinku,Anil Kumar","Completed"
"Apr","10-04-2024 T23:55","Fuel Pump","SIFS # 6","Air leak test and plate assy M/C","M-EN-FP-SIF-6-060-1","C","BM","45","Regulator coupler finger broken in YTA model","part not clamp  ","part clamping cuppler not work","clamping finger broken","finger wear and tear","na","PRD did the model changeover to run the production and MTD side  new part making request sent to supplier. ","this part to be in the stocking","Problem Category- Mechanical,Breakdown Category- Wear","Yes","Yogesh Kumar","Completed"
"Apr","11-04-2024 T03:49","Injector","Housing-3","MOLDING MACHINE","HSG3-4010","C","BM","20","'NH' HEATER TEMP goes .DOWN ","NH' HEATER TEMP. DOWE","NH Thermocouple malfunction","Internal malfunction",".",".","m/c power off/ on ","NA","Problem Category- Electrical,Breakdown Category- Process","Yes","Yogesh Kumar","Completed"
"Apr","11-04-2024 T05:43","Injector","Housing-1","HOUSING MOULDING","EIHS-091","C","BM","60","chain  broken ","conveyer not run","conveyer chain broken","pallet stuck in chain","pallet tilt",".","chain re joint ","chain condition check in pm time","Problem Category- Mechanical,Breakdown Category- Process","No","Sandeep Kumar,Yogesh Kumar","Completed"
"Apr","11-04-2024 T09:40","Injector","UC # 3",""NEEDLE & CONNECTOR ASSY  CONNECTOR REVERSE CHECK"","UC3-060","A","BM","30","RB-1 fault was coming","J3 axis over load fault was coming","It was coming during needle ASSY ","Needle ASSY st. work clamp confirmation not coming","Cylinder clamp motion not smooth","Its LM guide motion hard","Robot motion check manually found ok ( Robot greasing done ),Cylinder lubrication done and mc power reset after that mc run,Cylinder change with new after production complete","NA","Problem Category- Mechanical,Breakdown Category- Wear","No","SAHIL SAINI,Parveen Kumar","Completed"
"Apr","12-04-2024 T06:40","Fuel Pump","FP-Armature","ARMATURE CNC-4","M-EN-FP-ARM-1-140-4","A","BM","60","Hydraulic oil level low fault","Hydraulic oil level low fault","oil level sensor input was on ","level sensor not touch in oil ","oil level low ","","prd side oil fill ",".","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Sandeep Kumar,Tarkeshwar Prasad","Completed"
"Apr","12-04-2024 T08:01","Fuel Pump","FP-Armature","FUSING  # 02","M-EN-FP-ARM-1-110-2","A","CM","0","Displacement NG at Nail-1",".",".",".",".",".","Collet cleaning done after that Under Observation",".","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Sandeep Kumar","Completed"
"Apr","12-04-2024 T08:41","Injector","Housing-3","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG3-3020","A","BM","50","Plate P/f Part confirm sensor fault","Plate P/f Part confirm sensor fault","plate position was disturbed","plate proper not set on jig","plate guide pin not on position","plate guide pin was broken","pin and jig changed  both new.",".","Problem Category- Mechanical,Breakdown Category- Wear","No","Sandeep Kumar","Completed"
"Apr","12-04-2024 T13:45","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","A","BM","104","Part drop during unloading ","Part drop during unloading","Spool guide Pin broken ","Pin touch with part on pallet ","Spool insert proper not happen","Alignment was ng w r t pallet ","Change pin with new ,Pin side polishing and grinding done ,Ball plunger adjusted and alignment done ","-","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Anil Kumar","Completed"
"Apr","12-04-2024 T14:57","Fuel Pump","SIFS # 6","Air leak test and plate assy M/C","M-EN-FP-SIF-6-060-1","B","CM","100","regulator coupler damaged","regulator coupler not working","regulator finger properly not clamp","finger holding portion was wear out","Used in every part during inspection","..","so coupler repair done","so repair the finger and again assy done then ok","Problem Category- Mechanical,Breakdown Category- Wear","Yes","Tinku,Anil Kumar","Completed"
"Apr","13-04-2024 T09:29","Fuel Pump","FP-Armature","FUSING  # 02","M-EN-FP-ARM-1-110-2","A","CM","61","Some time displacement coming Ng","Some time displacement coming Ng","During part clamping part slip","Part grip force Ng","In side collet step available ","Part wear and tear ","In both loader part d cut stopper position adjusted ,In side cleaning  done ,Change collet with new ","Need to add in PM check sheet this point yearly","Problem Category- Mechanical,Breakdown Category- Wear","No","Anil Kumar,Arun","Completed"
"Apr","13-04-2024 T15:23","Fuel Pump","Bearing Holder","CHOKE COIL WINDING M/C-3","M-EN-FP-BRH-1-070-3","B","CM","27","From jig no 2 and 4 core end hight lower side ","From jig no 2 and 4 core end hight lower side","Winding profile Ng","Wire tension coming lower side","Wire bobbing side issue available","-","PRD side change wire bobbing with new ","-","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku,Anil Kumar","Completed"
"Apr","13-04-2024 T21:21","Injector","Housing-4","HOLDER, PLATE & PIPE PRESS FIT MACHINE","HSG4-3020","B","BM","9","Pallet stuck  at Unloading station","Pallet stuck  at Unloading station","pallet position distrub during shifting time ","escape fwd/bwd cylinder mounting was loose also escape plate position distrub","cylinder speed was high","speed controller fully open","Cylinder properly mounting done.,Escape plate alignment done,Cylinder speed adjusted after that Ok","-","Problem Category- Mechanical,Breakdown Category- Process","No","Tinku","Completed"
"Apr","13-04-2024 T15:08","Injector","Housing-2","LASER MARKING MACHINE","HSG2-4020","B","BM","60","Impluse NG,Step-dimension NG (100 %)","Values going out of spec","Improper wire contact","Some wires found broken on both sides","Stress on Impulse check wires during full downward motion","Improper dressing & routing of wire","Checked Step dimension & Impulse Check station & found both side some wires were in broken condition.,Wire re-thimbling done.,Impulse Master checked & found Ok","Wire dressing & routing to be improved in coming holidays.","Problem Category- Electrical,Breakdown Category- Wear","No","Tinku,Anil Kumar","Completed"
"Apr","13-04-2024 T03:35","Injector","Housing-2","MOLDING MACHINE","HSG2-4010","C","BM","45","Material stuck out side nozzle.","thermocouple wire stuck with molding pvc material","Material stuck out side nozzle area","material came outside nozzle during injection",".",".","material clean out side nozzle","Check nozzle condition by doing plan with PRD.","Problem Category- Mechanical,Breakdown Category- Process","No","Yogesh Kumar,Arun","Completed"
"Apr","14-04-2024 T06:30","Injector","Housing-1","LASER MARKING","EIHS-101","A","BM","30","transfer unit ls fault long cylinder up/down fault coming","transfer unit ls fault long cylinder up/down fault coming","Long cylinder down cnf not come ","reed switch original position not have ","reed switch mounting was loose","reed switch mounting was damage ","so reed switch change with new then ok ",".","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Tarkeshwar Prasad","Completed"
"Apr","14-04-2024 T08:20","Injector","Housing-2","TERMINAL PRESS FIT & HEIGHT CHECK","HSG2-1010","A","BM","30","spool discharge up/down fault coming","Spool discharge not complete","Spool discharge flip unit pin got broken","Actual cause not clear but suspected cause may b spool stuck during flip & pin got broken due to tilted load coming","Pin not properly guide by its Block","Block wear out & may b its grinding during when ever pin change last time.","Planned activity,Change Pin & Block with spare new","Part compare with drawing & do correction as per requirement","Problem Category- Mechanical,Breakdown Category- Wear","No","Anil Kumar,Tarkeshwar Prasad,Arun","Completed"
"Apr","15-04-2024 T06:37","Fuel Pump","FP-Assy","PERFORMANCE INSPECTION","M-EN-FP-FPA-1-230-1,2","A","BM","18","Master (991 model) not check in performance m/c","991 model master not check in performance m/c","pallet not read  by ID reader sensor ","Pallet side ID issue because all other master running ok ","Actual cause not clear ,suspected cause may b pallet ID life over or internal issue ","NA","manully master id add & check master for mc run.","we request to PRD san for check/change 991 master pallet id with PED san.","Problem Category- Electrical,Breakdown Category- Part-Failure","No","Tarkeshwar Prasad","Completed"
"Apr","15-04-2024 T06:20","Injector","Housing-2","FUSING","HSG2-2020","A","BM","30","Camera -3 NG came at fusing mc","Camera -3 detect little terminal bend","Terminal came little bend from terminal PF mc","Spool unloading time may be r-side terminal little got bend ","Spool & unloading station pin alignment disturb","-","Spool unloading station pin properly align with spool","we study its drawing for take permanent countermeasure.","Problem Category- Mechanical,Breakdown Category- Human","No","Tarkeshwar Prasad,Arun","Completed"
"Apr","15-04-2024 T07:09","Fuel Pump","YG4 (HONDA)","Glue applying machine","M-EN-FP-SIF-4-050-1","A","BM","60","total Weight less than spec","Final part weight coming less as per spec","May b  mixing or nozzle side some restriction/blockage, because before this unit weight ok.","May b nozzle  not clean properly ","Actual cause not clear, problem under analysis.",".","Temporary resign weight adjust to run mc,Before mixing unit we check resign & hardener weight , found ok, finally we request to PRD san for checking mixer unit or nozzle side","Check each unit setting as per manual","Problem Category- Mechanical,Breakdown Category- Part-Failure","No","Tarkeshwar Prasad","Completed"
"Apr","15-04-2024 T07:10","Injector","UC # 3","BACK UP RING PRESS FIT","UC3-010","A","BM","50","Back up ring assy part lift fault","
Back up ring not pf in part","BUR pf cylinder not move ","Cylinder side air not came ","air operated solenoid not move ","its exhuast  air silencer chocked","Air operated solenoid Silencer change with new one",".","Problem Category- Pneumatic,Breakdown Category- Part-Failure","No","Keshav,Arun","Completed"
"Apr","15-04-2024 T09:00","Injector","Housing-4","FUSING PORTION AND TERMINAL BENDING M/C","HSG4-3010","A","BM","60","in auto condition mc was stop no alarm coming ","in auto condition mc was stop no alarm coming","part unloading time absodex vibrate","aligenment not ok ","in chuck unit part guide pin spring was damage ","spring got broken due to continue use.","mmd given to our side spring then assy done ","As per drawing we check spring not assy on pin,
Check with PED/MMD Design, found spring selection NG.
Now MMD temporary different spring assy to run mc & they given modified spring part no.","Problem Category- Mechanical,Breakdown Category- Design","No","Tinku,Tarkeshwar Prasad,Arun","Completed"
"Apr","15-04-2024 T11:00","Injector","UC # 3",""NEEDLE & CONNECTOR ASSY  CONNECTOR REVERSE CHECK"","UC3-060","A","BM","30","Needle supply RB-1 fault","Needle supply RB-1 fault","Needle supply robot not completed its cycle","Robot J3 axis motor  over load fault in teaching pendent",".",".","ROBOT J3 axis cleaning & Lubrication done ",".","Problem Category- Mechanical,Breakdown Category- Obsolete","No","Keshav","Completed"
"Apr","15-04-2024 T23:35","Fuel Pump","FP-Assy","MAGNET & SPRING ASSY","M-EN-FP-FPA-1-030-1","C","BM","40","Manet drop during press fit ","Manet not proper hold by magnet setting jig"," Manet  hold suction/vacuum was low"," vacuum got leak between magnet & jig srface","Jig surface wear out, due to life over","","Magnet jig replace with old because of new jig not available in spare ","Magnet jig change plan also mention in PM point.  ","Problem Category- Mechanical,Breakdown Category- Wear","Yes","Sandeep Kumar,Anil Kumar","Completed"
"Apr","15-04-2024 T23:50","Injector","UC#1","SUB ASSY WASHING","EIAS-081","C","BM","60","Nozzle  got bend due to table jig hit with it ","Washing nozzle bend ","Table jig hit with nozzle ","Nozzle did not move downward","Suspected Manual Table Move by PRD ",".","Washing nozzle removed and made machine home ,Washing Nozzle changed with new ,Nozzle Run Out set to 60 micron,table jig clamping shaft tightened  and checked for any abnormality , But found OK","Information given to PRD for safe handling of Table","Problem Category- Both,Breakdown Category- Communication","No","Gaurav,Akshay","Completed"
