"Month","Date","Cell","Line","Machine","Machine No","Shift","Category","Time","Problem","Cause Why1","Cause Why2","Cause Why3","Cause Why4","Cause Why5","Action","Counter Measure","Problem Category","Breakdown Category","Is Action Temporary?","Done By","Status"
"Apr","04-04-2024 T17:30","Final Assy","FA-WP3","Air blow-05","EEAT-073","B","BM","10","Door Cylinder fault","Door Cylinder fault","Door open confirmation not coming","Reed Switch not on","Reed Switch position disturbed","NA","Door cylinder movement check found ok,Door cylinder reed switch adjusted","NA","Electrical","Wear","Yes","Dalip Khajuria","Completed"
"Apr","04-04-2024 T17:35","Mounting","AOI-7","AOI-07","EETP-107","B","BM","25","STOCKER NOT MOVE TO PCB LOADING POSITION","STOCKER NOT MOVE TO PCB LOADING POSITION","Stocker Movement condition not fullfill","Stocker Clamp reed switch confirmation not coming","Suspected REED Switch malfunction","NA","1.Reed Switch adjusted,Wire dressing & connection check found ok,Temp. PLC program modify for stocker movement condition","cylinder Reed Switch will change T.D-07-04-2024","Electrical","Part-Failure","Yes","Dalip Khajuria","Completed"
"Apr","04-04-2024 T17:41","Mounting","AOI-7","AOI-07","EETP-107","B","BM","54","During Server Access Error","During Server Access Error","Application communication Issue ","Suspected Server-side issue","NA","NA","log data collected & application restart,Maker modify retry time from 30 sec to 90 Sec-U/O","Under discussion with maker","Electrical","Communication","Yes","Dalip Khajuria","Completed"
"Apr","04-04-2024 T17:45","Mounting","AOI-6","AOI-06","EETP-089","B","BM","23","During Server Access Error","During Server Access Error","Application communication Issue ","Suspected Server-side issue","NA","NA","log data collected & application restart,Maker modify retry time from 30 sec to 90 Sec-U/O","Under discussion with maker","Electrical","Design","Yes","Dalip Khajuria","Completed"
"Apr","04-04-2024 T18:52","Mounting","MA4","YS Loader ","EETP-051","B","BM","10","CHUCK  ERROR","CHUCK  ERROR","PCB CHUCK CONFIRMATION NOT COMING","PCB DETECT SENSOR OFF","PCB SLIP FROM CHUCK PAD","FIRST PCB POSITION SHIFTED","THIS PROBLEM COMING IN FIRST PCB AFTER PCB SET JIG LOAD,SO PCB TAKEOUT FROM CHUCK PAD ,AFTER THAT MACHINE RUN FOUND-OK","","Mechanical","Design","No","Dalip Khajuria","Completed"
"Apr","04-04-2024 T18:36","Final Assy","FA-AB3","FAL-AB-LT","EEAT-146","B","BM","14","Part continuously failed at Step No:-30","Part continuously failed at Step No: -30","Step No:-30 data not found","Wrong flash done issue","Human Mistake","","1.First check Master found every time ok,2.Harness also change but same,3.Another part no-676 nameplate scan & run part-301 then ok","PRD will provide countermeasure","Electrical","Human","No","Neeraj,Sandeep Dhama","Completed"
"Apr","04-04-2024 T18:20","Final Assy","Spot Block-03","Air Blow","EEAT-213","B","BM","20","Fault No -6 coming .","Machine stop in Auto running.","Fault No -6 coming.","Solenoid not on.","Its coil not on.","Part failure.","Solenoid valve changed with spare after that ok.","","Electrical","Part-Failure","No","Neeraj,Mangal Ram Kanwar","Completed"
"Apr","04-04-2024 T19:55","Final Assy","Cell Sensor","Flash writing (C/S)","EEAT-161","B","BM","10","Abnormal production id error coming (cell sensor model)","Abnormal production id error coming (cell sensor model)","QR Scanner data not coming","Scanner not scan to Product's QR code","Scanner communication issue","n/a","During runing this error come,Found scanner not working, so application close/open but ng,So finellymachine power off/on, after that ok master check ok","","Electrical","Communication","Yes","Mangal Ram Kanwar","Completed"
"Apr","04-04-2024 T21:00","Mounting","AOI-6","AOI-06","EETP-089","B","BM","60","DURING SERVER ACCESS ERROR 3D & AOI REGISTER DATA ERROR","DURING SERVER ACCESS ERROR COMING IN 3D M/C","COMMUNICATION ISSUE WITH SERVER DUE TO OVERLOAD.","WHILE RESOLVING THIS PROBLEM REGISTER DATA ERROR COME IN AOI M/C","AGAIN, COMMUNICATION ISSUE TO UPSTREAM MACHINE (Scan Conveyor)","DIRECT COMMUNICATION IMPLEMENTATION (DATA TRANSFER PROCESS CHANGED)","LOG DATA COLLECTED AND APPLICATION RESTART BUT  APLLICATION NOT RESPOND,SO 3D PC RESTART, AFTER THAT-OK,WHILE RESOLVING THIS PROBLEM REGISTER DATA ERROR COME IN AOI M/C,AOI M/C RESTART,SCAN CONVEYOR RESTART,MODEL CHANGEOVER DONE,RS-232-2 COMMUNICATION CABLE RECONNECTED,AGAIN AOI M/C RESTART,AFTER THAT-OK","Currently all AOI running on same server. Another server installation by PED.","Electrical","Communication","Yes","Dalip Khajuria","Completed"
"Apr","04-04-2024 T23:45","Mounting","AOI-6","AOI-06","EETP-089","C","BM","30","Upper link communication error coming ","Upper link communication error coming ","Communication Issue","","","","Machine Restart","This problem increased after IIU unit elimination. Will discuss with maker for the solution.","Electrical","Communication","Yes","Gagandeep","Completed"
"Apr","04-04-2024 T23:40","Mounting","AOI-08","AOI-08","EETP-130","C","BM","20","Upper Link communication error coming on AOI","Upper link communication error coming ","Communication issue ","","","","Application closed, PCB takeout and machine restart","This problem increased after IIU unit elimination. Will discuss with maker for the solution.","Electrical","Communication","No","Subhash Sheoran,Gagandeep","Completed"
"Apr","05-04-2024 T00:21","Final Assy","ENG Sealer Block-01","Spray Sealer M/C","EEAT-069","C","BM","109","Error 132 coming : Pallet positioning Cylinder-1 error was coming","Pallet not locked","cylinder reed switch confirmation not coming","Reed switch malfunction","Reed switch wire broken","Due to Sealer Accumulation on Wire","Solenoid valve change with spare,Reed switch wire cut and re-thimble  done ,Found reed switch wire broken inside the pneumatic pipe,Reed switch change with spare then ok.","We will checked the other pallet lock cylinder reed switch cable condition and dressing","Electrical","Wear","No","Subhash Sheoran,Sreekanth Sasi","Completed"
"Apr","05-04-2024 T04:15","Final Assy","FA-WP3","Air Leak","EEAT-160","C","BM","11","Machine not auto start","Machine hang","Communication problem","Design issue",".",".","Machine restart after that ok","Discussion done with PED and Maker about this problem","Electrical","Communication","Yes","Subhash Sheoran","Completed"
"Apr","05-04-2024 T08:42","Final Assy","FA-WP4","PRE-PKG AUTO SCREW MACHINE","EEAT-204","A","BM","13","ABNORMAL SOUND COME,Part lift after screw tight","Abnormal sound coming.","Screwdriver screw tighten position NG.","Y-axis position disturbed.","Suspected Y-axis driver side issue.","NA","Machine master OFF and machine homing done then ok","We will change the Y-axis driver with Packaging machine.","Electrical","Part-Failure","Yes","Ujjawal,Anshul Gupta,Jatinder Singh","Completed"
"Apr","04-04-2024 T11:48","Final Assy","FA-WP4","3W GEL APPLICATION","EEAT-201","A","BM","10","GEL CAN NOT SWITCH","GEL CAN Not switched.","Maybe gel CAN change program malfinction","NA","NA","NA","check and found machine have fault code coming but buzzer and CAN not switched.,So  again Press SETUP and changed  CAN then found  it work OK.","We will check its PLC Program","Electrical","Communication","Yes","Ujjawal,Jatinder Singh","Completed"
"Apr","05-04-2024 T08:15","Mounting","MA5","Multi-Magzine Unloader","EETP-086","A","BM","10","Stocker jam error coming","Stocker jam error coming","Stocker stuck in Lifter conveyor","Stocker base Width Was Wide","Stocker Base Was Broken","NA","Check and found stocker stuck at unloading transfer station of the conveyor .,Manually take out the stocker and checked found it broken from the bottom resulting in wider width causing stocker stuck, so take out and run a new stocker after that OK","Request to PRD Please do not use broken stocker","Mechanical","Part-Failure","No","Ujjawal,Jatinder Singh","Completed"
"Apr","05-04-2024 T13:15","Mounting","MA6","NPM-4","EETP-136","A","BM","10","Nozzle Exist Error ","Nozzle Exist Error ","Nozzle drop by head","Nozzle not pick properly by head","Possibility of holder side issue ","NA","Take out the holder and nozzle by PRD and Cleaning done","NA","Mechanical","Process","No","Jatinder Singh","Completed"
"Apr","05-04-2024 T15:00","Mounting","AOI-5","3D-05","EETP-070","B","BM","10","DURING SERVER ACCESS ERROR","DURING SERVER ACCESS ERROR","COMMUNICATION ISSUE","ROOT CAUSE NOT CLEAR","N/A","N/A","LOG DATA COLLECTED,PC RESTART","","Electrical","Communication","Yes","Dalip Khajuria","Completed"
"Apr","05-04-2024 T17:13","Mounting","AOI-6","3D-06","EETP-090","B","BM","10","DURING SERVER ACCESS ERROR","DURING SERVER ACCESS ERROR","COMMUNICATION ISSUE","ROOT CAUSE NOT CLEAR","N/A","N/A","LOG DATA COLLECTED,APPLICATION RESTART","Occurs due to IIU Unit Disables. Machine C/O Process change ","Electrical","Communication","Yes","Dalip Khajuria","Completed"
"Apr","05-04-2024 T16:30","Final Assy","FA-AB2","Packaging Jig-02","EEAT-131","B","BM","10","Fault No -5 (Camera Check )NG.","Fault No -5 coming.","Camera judgement NG coming.","Polarity mark shifted .","Camera Mounting shifted.","Camera not proper tight ,Its design issue.","Camera mounting adjusted after that ok ,Also ok/NG master Checked ok.","This problem already discuss with PED ,Its Mounting design will change ,","Both","Design","Yes","Neeraj,Dalip Khajuria","Completed"
"Apr","05-04-2024 T14:30","Mounting","MA2","SPI","EETP-044","B","BM","10","PCB TRANSPORT FAULT","PCB TRANSPORT FAULT","PCB NOT REACHED TO SENSOR POSITION WITHIN SPECIFIED TIME.","PCB JAM AT EXTENSION CONVEYOR","EXTENSION CONVEYOR ALIGNMENT WAS DISTURBED","N/A","CHECK AND FOUND PCB STUCK BETWEEN  SPG-2 AND SPI M/C EXTENSION CONVEYOR,SO EXTENSION CONVEYOR ALIGNMENT DONE.","M/C FOOT LOCKING IS ALREADY PLANED (T.D. 30-04-2024)","Mechanical","Design","Yes","Dalip Khajuria","Completed"
"Apr","05-04-2024 T20:23","Final Assy","FA-AB3","Packaging Jig-03","EEAT-188","B","BM","43","Screw driver bit come out & product  Lift after screw tightening","Screw driver bit come out & product  Lift after screw tightening","Screw driver's  mechanichal unit issue","Screw driver faulty","N/A","N/A","Screw driver come out so bit change with spare,Product lift after screw tightening, so screw driver mounting adjustment ,So finelly screw change with spare & torque check ok","","Mechanical","Design","No","Neeraj,Mangal Ram Kanwar,Dalip Khajuria","Completed"
"Apr","05-04-2024 T22:00","Final Assy","FA-WP2","VCS-07","EEAT-092","B","BM","10","Bit detection error coming","Bit detection error coming","Jig moving confirmation reed switch not activated
","Harness properly not set in probe holder","Harness setting issue","n/a","During model change over bit detection error coming,Found jig forward moving reed switch not activated,So Harness take out & re-insert, after that ok","","Mechanical","Process","No","Mangal Ram Kanwar,Dalip Khajuria","Completed"
"Apr","05-04-2024 T22:25","Final Assy","FA-WP2","VCS-10","EEAT-057","B","BM","20","READY SIGNAL NOT COMING","READY SIGNAL NOT COMING","SENSOR CONFIRMATION NOT COMING","SENSOR OUTPUT WIRE BROKEN","N/A","N/A","CHECK AND FOUND SENSOR OUTPUT WIRE BROKEN,SO SENSOR OUTPUT WIRE SOLDERING DONE","","Electrical","Part-Failure","No","Dalip Khajuria","Completed"
"Apr","06-04-2024 T07:33","Final Assy","Cell Sensor","Air blowing M/C","EEAT-162","A","BM","7","Cycle stops error-re entering non detected.","Cycle stops error-re entering non detected.","Sensor no.210 continues ON","Maybe sensor dirty ","NA","NA","Sensor no.210 SV Change from 200 to 130 then ok","Need to clean the sensor","Electrical","Part-Failure","Yes","Ujjawal,Jatinder Singh","Completed"
"Apr","06-04-2024 T08:15","Final Assy","ENG Sealer Block-01","Flash-01","EEAT-021","A","BM","100","Card Fail on step no.49 (E.P.R. ECU-1 WRITER-1 NG)","M.J. Coming on step no.55 in master (product have step no.49 NG ).","Its communication NG with machine.","Power load connector wire no.24 was broken.","Wire routing not good ","Connector resting pipe joint not installed after shifting the machine.","Problem coming in product on step no.49 (0852).,Check master found NG on step no.55 (0422),spare probe holder installed found same NG Coming.,Power load connector & Main connector reconnect.,Probe holder all pin change with new ,Probe holder RY-1,2 swapped with RY3,4 but same so revert back done,Power load connector open and found wire no.24 was broken. so re-soldering done ,NG Master data match (0710),Again one product check by PRD found ok. ","Request to PRD for make the stand for connector resting. And request to PED For check the OK master.","Electrical","Wear","No","Ujjawal,Anshul Gupta,Jatinder Singh","Completed"
"Apr","06-04-2024 T08:37","Final Assy","FA-WP4","LO-HI SCREENING MACHINE","EEAT-199","A","BM","8","Tester communication error","Tester Communication NG Coming.","Machine is not in home position.","Setup Complete confirmation not coming.","After NG Master take out jig not set properly.","NA","Setup complete confirmation not coming ,Found machine work bench is not in home position.,Manually work bench move toward machine inside then machine homing OK.","","Mechanical","Human","No","Ujjawal","Completed"
"Apr","06-04-2024 T10:20","Final Assy","FA-WP4","3W GEL APPLICATION","EEAT-201","A","BM","14","Fault no.145 coming,Machine stop during running.","Coating Application stop during running ","Machine have fault no.145 coming ","Machine operation malfunction","NA","NA","Found fault stop coating station error coming in running.,Try to machine master off but not done.,So machine restart then daily check done and run production found ok","","Both","Communication","Yes","Ujjawal","Completed"
"Apr","06-04-2024 T10:22","Final Assy","FA-WP4","AIR LEACK CHECK","EEAT-209","A","BM","5","Door not open in auto","Door lock not opened","Door unlocking pin not unlocked after cylinder action.
","Door unlock unit have rust available.","Cleaning not done ","NA","In between running condition,Its door unlocking cylinder unit cleaning done with CRC then ok","","Mechanical","Wear","No","Ujjawal","Completed"
"Apr","06-04-2024 T18:09","Final Assy","ENG Sealer Block-03","MRC","EEAT-219","B","BM","261","Product drop inside the machine while running","ϴ Axis position error coming","Flipper unit (ϴ Axis) not in flip position","Flipper unit (ϴ Axis) stuck with product.","Product drop while flipping","Product not properly set by Operator.","Release Theta axis break by HMI but not release-Status NG,Remove theta axis belt & try to origin theta axis but not ok.-,Check Theta Axis driver found alarm So, Alarm reset by online driver.,ϴ Axis found Different position, so removed the timing belt and manually adjusted.,So Now belt tighten on that position & Homing done,For Inspection error first machine network offline done then online then network communication Ok,Then check Master & product found OK-  ","To Avoid motor rotation in case of part drop i.e., Kaizen will Implement.
Under discussion
","Both","Human","No","Neeraj,Mangal Ram Kanwar,Dalip Khajuria,Sandeep Dhama","Under MTD HOD Approval"
"Apr","07-04-2024 T17:03","Final Assy","ENG Sealer Block-03","Spray Sealer","EEAT-226","B","BM","40","coat-2 humiseal Width abnormal Error Coming","coat-2 humiseal Width abnormal Error Coming","Coat-2 Width Was Abnormal coming","Auto Width Adjustment ITV Unit Was Malfunction","ITV Unit Was Faulty","Part Failure","Machine Daily Check Done,Nozzle Spray Adjusted,Auto Width Adjustment ITV Unit Change With Spare","NA","Electrical","Part-Failure","No","Jatinder Singh,Sandeep Dhama","Completed"
"Apr","08-04-2024 T10:08","Final Assy","FA-WP2","Silicon Below","EEAT-080","A","BM","20","Auto Running condition not coming.","Auto running condition not coming.","Discharger complete signal not coming.","PLC I/P 4.00 bit not ON.","Suspected PLC Input bit wire signal break","Suspected PLC Bit Hold","Auto running condition not coming,,Checked PLC program side found 4.00 bit not on. So 4.00 bit forcefully on/off after that ok.","","Electrical","Communication","No","Neeraj,Dalip Khajuria","Completed"
"Apr","08-04-2024 T06:15","Final Assy","Spot Block-1","Spot-01","EEAT-096","A","BM","10","Nozzle gap & Nozzle hieght not taken by Robot.","Nozzle gap not start the machine.","Nozzle ID confirmation not coming","Its nozzle ID sensor not ON(1604)","Dust particle coming on sensor","During solder bath cleaning its coming","ID sensor 1604 cleaned after that OK","","Electrical","Human","No","Neeraj,Subhash Sheoran,Sandeep Dhama","Completed"
"Apr","08-04-2024 T20:48","Final Assy","FA-WP3","Silicon All-round","EEAT-156","B","BM","12","Sillicon drop on product","Sillicon drop from waste material tray","Too much sillicon in tray","Leakage from pressure regulator","Air trap in silicon hose",".","Cleaned the waste material from tray & machine inside,Pressure regulator clean","Pressure regulator cleaned","Electrical","Part-Failure","No","Subhash Sheoran","Under PRD TL Approval"
"Apr","08-04-2024 T21:56","Final Assy","FA-NWP3","VCS-08","EEAT-099","B","CM","10","Machine hang","Poor contact between product & m/c.","communication break between product & m/c","Communication Board Not Reset after Product","Communication Board Relay get Hold","Internal Communication Issue","Machine Restart","","Electrical","Communication","Yes","Subhash Sheoran","Completed"
"Apr","08-04-2024 T21:58","Final Assy","FA-NWP3","Spray Sealer M/C","EEAT-027","B","BM","10","Pallet stuck at transfer conveyor","Fault 146 Pallet timeout error come","Pallet got Stuck in Sealer while transferring","PRD run NG Pallet in Sealer","","","Manually Pallet removed after that OK","Informed TL to keep NG pallet Separate","Mechanical","Human","No","Subhash Sheoran,Gagandeep","Completed"
"Apr","08-04-2024 T20:00","Mounting","MA4","Reflow Oven","EETP-059","B","BM","10","Temperature controller error was coming","Temp Controller in Error State","Communication break with temp. controller","Temperature Controller Not Communicate with PLC","Temp Controller Signal Interrupted","Communication issue ","Machine restart after that OK","","Electrical","Communication","Yes","Subhash Sheoran","Completed"
"Apr","08-04-2024 T21:00","Mounting","MA6","LOADER","EETP-114","B","BM","10","Chuck error (PCB dropped on another PCB)","Chuck error coming","PCB drop from chuck","Chuck not pick-up the PCB properly","PCB hit with jig","Jig width not ok","Take out the jig & Jig change/ set jig width proper.","","Mechanical","Human","No","Subhash Sheoran","Completed"
"Apr","08-04-2024 T20:20","Mounting","AOI-5","AOI-05","EETP-069","B","BM","18","Slow Inspection Process","Communication issue ","Data slow come","SERVER RESPONSE TIME HIGH","NA","NA","Machine restart ","","Electrical","Design","No","Gagandeep","Completed"
"Apr","08-04-2024 T22:15","Final Assy","AB Sealer Block-01","Spray Sealer M/C","EEAT-078","B","BM","13","Pallet drop in X-axis","Robot Interference","X Y Table did not Move","Pallet Open while Flipping","Pallet was not Properly Lock","Human Mistake","PCB & pallet take out from X-axis","Instruction given to PRD to Lock Pallet Properly","Mechanical","Human","No","Subhash Sheoran,Mukesh","Completed"
"Apr","09-04-2024 T03:00","Mounting","AOI-6","AOI-06","EETP-089","C","BM","50","Cross Mark Shifting in 3D machine .,Upper Link Communication error in AOI machine","Upper Link Communication error in AOI machine","Machine communication NG with Upper (3D) machine.","3D machine is not ready ","Using the wrong process","Less knowledge ","3D machine restart,AOI machine restart,Scan conv, AOI & 3D machine restarts,Finally All three machine ON As per Maker procedure.","","Electrical","Process","No","Ujjawal,Jatinder Singh","Completed"
"Apr","09-04-2024 T03:55","Mounting","AOI-08","AOI-08","EETP-130","C","BM","45","AOI Conveyor fixed Side Pulley came out.","PCB Jam Error Coming","Conveyor Belt come out","Conveyor fixed Side Pulley came out.","Pulley Grove Screw Was Loose","Pulley Grove Screw Was Damage","Pulley Grove Screw Change With Spare","Grove Screw Change With Spare","Mechanical","Wear","No","Ujjawal,Jatinder Singh","Completed"
"Apr","09-04-2024 T08:59","Final Assy","FA-WP4","3W GEL APPLICATION","EEAT-201","A","CM","31","Cartridge not switched .","Alarm -145 ( Coating station stop ) error.","Gel supply not feed into dispenser.","Cartridge -1 empty & not switch .","Cartridge pressure not goes down.","Suspected -Pressure sensor issue.","1.Catridge-1 pressure sensor clean,Inside Cartridge housing sensor area clean ,Purging pipe separated to proper release of air while Gel dispensing-Status U/O ,For Buzzer sound PLC program modify-U/O","Pressure Sensor clean point will reflect in PM check sheet","Both","Wear","No","Neeraj,Sandeep Dhama","Completed"
"Apr","09-04-2024 T06:23","Mounting","AOI-6","3D-06","EETP-090","A","BM","110","CROSS MARK SHIFT PROBLEM","CROSS MARK SHIFT PROBLEM","CROSS MARK NOT COMING ON CHECKING POINT","TOP AND SIDE CAMERA CROSS MARK POSITION WAS NOT ALIGN","SIDE CAMERA LENS WAS LOOSE","N/A","OFFSET GIVEN,MODEL CHANGEOVER,MACHINE RESTART,CALIBRATION DONE,SIDE CAMERA LENS ADJUSTED"," Last activity of camera rotation unit change by Maker. Suspected Not Properly Tighten","Mechanical","Human","No","Neeraj,Dalip Khajuria,Sandeep Dhama","Completed"
"Apr","09-04-2024 T13:30","Final Assy","FA-WP4","PRE-PKG AUTO SCREW MACHINE","EEAT-204","A","BM","25","During screw tightening time abnormal sound coming.","During screw tightening time abnormal sound coming.","Screw driver & Screw position not match.","Y-Axis shifted.","Suspected- Motor cable side issue.","","Y-Axis signal & power cable separated ,Now under obeservation.","Under discussion with maker.","Both","Part-Failure","Yes","Neeraj,Dalip Khajuria","Completed"
"Apr","09-04-2024 T13:32","Final Assy","FA-WP4","PKG AUTO SCREW MACHINE","EEAT-206","A","BM","20","Vacuum error during screw pick time.","Vacuum error was coming.","Screw not properly pick.","During screw pick up time 2 screw together come due to proper grip not make.","Screw not proper feeding .","Screw & guide plate gap was more.","Screw upper guide plate adjusted  .","Screw & guide plate gap point check will reflect in PM check sheet","Mechanical","Obsolete","No","Neeraj","Completed"
"Apr","09-04-2024 T17:01","Final Assy","Spot Block-03","SPOT M/C","EEAT-214","B","BM","15","No Flux error was coming","Flux not coming","Flux supply tube was damage","Flux supply tube was cut from joint from flux pump side.","During FLUX exchange every time, this unit was take out.","So this flux pipe was bend every time.","Flux supply pipe damaged portion cut & insert back.","","Mechanical","Wear","No","Subhash Sheoran,Gagandeep","Completed"
"Apr","09-04-2024 T19:23","Final Assy","ENG Sealer Block-03","Spray Sealer","EEAT-226","B","BM","40","sealer come on prohabited area YCA R2","Sealer coming on prohibited area.","Sealer flowing to prohibited area in some products.","Less area between prohibited and application area (drawing restriction) (< 3mm)","Design restriction of the machine.","NA","This problem coming in some products.,Viscosity checked found OK,Coat-2 width adjusted.,Fine tuning done from program side. After that OK","NA","Mechanical","Design","No","Subhash Sheoran,Anshul Gupta,Gagandeep,Ashish Gupta","Completed"
"Apr","09-04-2024 T20:23","Final Assy","FA-WP3","Air Leak","EEAT-160","B","BM","10","Machine hang","Machine hang during running","communication break between m/c & PC","Design issue.","NA","NA","Machine restart","","Electrical","Design","Yes","Subhash Sheoran,Mukesh","Completed"
"Apr","09-04-2024 T20:27","Final Assy","FA-WP3","Filter Assembly ","EEAT-151","B","CM","10","Mushroom not coming up","Mushroom was not coming upward","Mushroom motion was hard","Mushroom was dirty","Dust accumulated inside the mushroom","NA","Mushroom open & cleaned it. After that OK","","Mechanical","Design","No","Subhash Sheoran,Mukesh","Completed"
"Apr","10-04-2024 T02:01","Final Assy","FA-WP3","Air Leak","EEAT-160","C","BM","14","Machine Hange during running.","Machine Hange in running","Machine DIO/AIO communication break with PC","Suspected USB driver version issue of DIO/AIO card","NA","NA","Machine power OFF and USB-1 & 2(DIO) cable reconnect then ok.","we will change DIO unit with new Air leak machine & Install new driver version","Electrical","Design","No","Ujjawal,Jatinder Singh","Completed"
"Apr","10-04-2024 T08:33","Final Assy","FA-WP4","3W GEL APPLICATION","EEAT-201","A","CM","15","Automatic Catrdige-1 to Catridge-2 not switch","Cartridge does not switch after finish.","Cartridge switch pressure does not drop below set value.
","Claridge switch pressure very low. ","Maker set lower pressure than actual value..","Design issue.","1.Pressure sensor clean but not ok,Cartridge cylinder Input air pressure leakage check found ok ,Cartridge switch pressure controller set value change from 0.25 to 0.35MPA.","This issue we will discuss in FAT of new Machine","Electrical","Design","No","Neeraj,Sandeep Dhama","Completed"
"Apr","10-04-2024 T08:36","Final Assy","FA-WP4","SILICON ALLAROUND","EEAT-205","A","BM","20","Abnormal Silicon Application was coming.","Abnormal Silicon Application coming.","Silicon not properly dispense from Nozzle.","Silicon got dry into nozzle.","Silicon Material issue,","","Many time dummy taken.,Nozzle changed after that ok.","Request to PRD if Machine stop more than 1 hour ,Before production start take dummy 2-3 times.","Mechanical","Process","No","Neeraj,Dalip Khajuria","Completed"
"Apr","10-04-2024 T09:21","Final Assy","Cell Sensor","Spray Sealer","EEAT-163","A","BM","40","Splash coming on prohibited area","Splash coming on prohibited area","Sealer spray abnormal on R2 Side","Sealer-Y Strainer(Line filter) choked","Suspected sealer material issue","na","Viscosity check found ok ,Chip clean problem still n.g ,Main sealer line filter and sealer filter clean than ok ","Filter clean frequency will change from 1/3m to 1/m","Mechanical","Process","No","Neeraj,Gagandeep","Completed"
